Thème,Oeuvre,Compositeur,Média,Catégorie,Année,Difficulté,Pays,Réponse,Lien,Code Spotify,Lien Playlist,marche pas
The Wolf of Wall Street,Le Loup de Wall Street,Howard Shore,Film,"Comédie, Drame",2013,Difficile,USA,,https://open.spotify.com/intl-fr/track/34J7cmouQaCjhVWIWMPDF9,spotify:track:34J7cmouQaCjhVWIWMPDF9,,FALSE
Over the Rainbow,Le Magicien d'Oz,Harold Arlen,Film,Fantasy,1939,Facile,USA,,https://open.spotify.com/intl-fr/track/568SEFtDjKr7N2PytpA6D5,spotify:track:568SEFtDjKr7N2PytpA6D5,,FALSE
Zorro's Theme,Le Masque de Zorro,James Horner,Film,Action,1998,Difficile,USA,,https://open.spotify.com/intl-fr/track/6Jd1bgtco6NU1XpadsTyDp,spotify:track:6Jd1bgtco6NU1XpadsTyDp,,FALSE
Nemo Egg,Le Monde de Némo,Thomas Newman,Film,"Animation, Disney",2003,Moyen,USA,,https://open.spotify.com/intl-fr/track/7jSQaXLzpLHjSQTev2krvT,spotify:track:7jSQaXLzpLHjSQTev2krvT,,FALSE
Come What May,Le Moulin Rouge,Craig Armstrong,Film,"Musical, Drame, Romance",2001,Moyen,USA,,https://open.spotify.com/intl-fr/track/1UmIWsuzcitp1VhsEKviJZ,spotify:track:1UmIWsuzcitp1VhsEKviJZ,,FALSE
Love Theme,Le Parrain,Nino Rota,Film,"Drame, Histoire, Romance",1972,Facile,USA,,https://open.spotify.com/intl-fr/track/39zu6JGd6tvRNsqyK78RLk,spotify:track:39zu6JGd6tvRNsqyK78RLk,,FALSE
	Nocturne en ut dièse mineur,Le Pianiste,"Wojciech Kilar, Frédéric Chopin	",Film,"Drame, Histoire",2002,Difficile,France,,https://open.spotify.com/intl-fr/track/6t6GAkKsUIIqsd9ShA03Hk,spotify:track:6t6GAkKsUIIqsd9ShA03Hk,,FALSE
Main Theme,Le Pole Express,Alan Silvestri,Film,"Fantasy, Animation",2004,Moyen,USA,Polar Express,https://open.spotify.com/intl-fr/track/3mfEv2KipK7lVWwocNx46Y,spotify:track:3mfEv2KipK7lVWwocNx46Y,,FALSE
Ouverture,Le Prénom,Jérôme Rebotier,Film,"Comédie, Drame",2012,Difficile,France,,https://open.spotify.com/intl-fr/track/06Gf9CFA29kXGhXyWF7etg,spotify:track:06Gf9CFA29kXGhXyWF7etg,,FALSE
The Prestige,Le Prestige,David Julyan,Film,"Science-Fiction, Drame, Thriller",2006,Difficile,USA,,https://open.spotify.com/intl-fr/track/6psXNFPXv9p7t1SQL1bD8N,spotify:track:6psXNFPXv9p7t1SQL1bD8N,,FALSE
Chi Mai,Le Professionnel,Ennio Morricone,Film,"Action, Drame",1981,Facile,France,,https://open.spotify.com/intl-fr/track/16EcTlm2ae1JUgmsL2AUGE,spotify:track:16EcTlm2ae1JUgmsL2AUGE,,FALSE
The Adam Project,Le Projet Adam,Rob Simonsen,Film,"Science-Fiction, Action",2022,Difficile,USA,The Adam Project,https://open.spotify.com/intl-fr/track/0h2oliFUGdQzHE9TjCpeHe,spotify:track:0h2oliFUGdQzHE9TjCpeHe,,FALSE
I Could Use a Boost,Le Robot Sauvage,Kris Bowers,Film,"Animation, Action, Drame",2024,Facile,USA,,https://open.spotify.com/intl-fr/track/0Kj6kohRovHA5vU45ASu0K,spotify:track:0Kj6kohRovHA5vU45ASu0K,,FALSE
Générique,Le Roi et L'Oiseau,Wojciech Kilar,Film,"Animation, Fantasy, Comédie",1980,Difficile,France,,https://open.spotify.com/intl-fr/track/1sH1imaeZOiOrdGxvA6I1u,spotify:track:1sH1imaeZOiOrdGxvA6I1u,,FALSE
